City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,amga,60.8953,131.9608,34.9,84,97,5.61,RU,1682472933
309,thompson,55.7435,-97.8558,46.56,31,20,5.75,CA,1682472933
310,alva,56.1528,-3.8051,41.67,78,100,1.01,GB,1682472933
311,gobabis,-22.45,18.9667,68.18,47,16,8.95,,1682472934
312,mount isa,-20.7333,139.5,83.97,42,40,9.22,AU,1682472650
313,hamilton,39.1834,-84.5333,56.43,56,100,1.01,US,1682472789
314,mon,26.75,95.1,74.21,68,2,1.72,IN,1682472934
315,rio grande,-32.035,-52.0986,71.71,94,100,8.88,BR,1682472935
316,egersund,58.4513,5.9997,39.38,63,8,21.34,NO,1682472935
317,mahibadhoo,3.7833,72.9667,83.55,75,83,7.72,MV,1682472935
318,el calafate,-50.3408,-72.2768,41.14,72,15,6.76,AR,1682472936
319,nuku'alofa,-21.1333,-175.2,79.14,89,40,13.8,TO,1682472936
320,la'ie,21.6477,-157.9253,84.16,74,93,4.0,US,1682472937
321,yanam,16.7333,82.2167,85.03,64,52,2.55,IN,1682472937
322,airway heights,47.6446,-117.5933,60.62,37,100,11.5,US,1682472905
323,ceelbuur,4.685,46.6176,80.26,73,100,9.28,SO,1682472937
324,codrington,-38.2667,141.9667,73.62,45,100,15.59,AU,1682472937
325,east ballina,-28.8667,153.5833,67.8,62,69,15.28,AU,1682472938
326,daru,-9.0763,143.2092,82.0,86,100,12.93,PG,1682472938
327,kupang,-10.1667,123.5833,79.38,94,75,17.27,ID,1682472938
328,zhanaozen,43.3,52.8,64.29,42,100,6.51,KZ,1682472938
329,saint-pierre,-21.3393,55.4781,75.56,83,100,4.61,RE,1682472939
330,qusmuryn,52.4503,64.6311,56.19,51,100,6.87,KZ,1682472939
331,sunne,59.8376,13.143,34.21,99,100,3.02,SE,1682472939
332,kenora,49.8167,-94.4337,41.97,38,40,4.61,CA,1682472939
333,lakhnadon,22.6,79.6,77.18,49,17,9.69,IN,1682472939
334,isanlu-itedoijowa,8.2667,5.8333,78.42,75,100,4.68,NG,1682472940
335,puerto armuelles,8.2833,-82.8667,80.58,82,19,1.79,PA,1682472940
336,roccella ionica,38.322,16.4009,62.31,68,100,8.05,IT,1682472940
337,khrenovoye,51.12,40.2889,48.97,91,100,14.38,RU,1682472940
338,palmas,-10.2128,-48.3603,76.87,88,0,5.75,BR,1682472940
339,west island,-12.1568,96.8225,80.58,78,40,17.27,CC,1682472940
340,santa cruz,-17.8,-63.1667,72.86,94,75,6.91,BO,1682472789
